#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm
6559.295	10040	6561.895	10018	6566.466	10012	6591.696	9994.2	6589.064	10027	6598.38	10024
6589.489	10029	6592.152	10014	6596.672	10027	6621.963	10006	6619.32	10013	6628.575	10029
6619.661	10038	6622.37	10022	6626.869	10034	6652.229	10008	6649.6	10003	6658.778	10029
6649.839	10037	6652.582	10028	6657.079	10029	6682.496	10008	6679.864	10009	6688.987	10024
6680.02	10039	6682.789	10027	6687.287	10021	6712.778	10001	6710.091	10023	6719.205	10023
6710.231	10028	6713.014	10019	6717.485	10027	6743.057	10004	6740.334	10013	6749.385	10035
6740.426	10029	6743.256	10019	6747.667	10039	6773.306	10013	6770.637	9999.3	6779.596	10029
6770.587	10040	6773.447	10026	6777.879	10029	6803.579	10009	6800.885	10012	6809.82	10019
6800.782	10029	6803.642	10026	6808.104	10019	6833.882	9999.3	6831.123	10010	6840.033	10027
6830.994	10029	6833.836	10029	6838.34	10018	6864.162	10003	6861.411	10004	6870.225	10026
6861.187	10026	6864.023	10033	6868.55	10029	6894.425	10008	6891.692	10004	6900.43	10027
6891.367	10035	6894.185	10040	6898.768	10022	6924.708	10001	6921.957	10007	6930.656	10024
6921.558	10026	6924.377	10029	6929.034	10007	6955.004	9997.2	6952.205	10015	6960.874	10023
6951.776	10023	6954.58	10027	6959.298	10009	6985.269	10008	6982.443	10010	6991.069	10035
6981.979	10027	6984.787	10024	6989.539	10016	7015.526	10013	7012.708	10008	7021.263	10029
7012.166	10032	7014.978	10032	7019.782	10014	7045.83	9999.2	7042.962	10006	7051.468	10027
7042.373	10021	7045.188	10024	7050.033	10012	7076.124	9997.5	7073.22	10013	7081.678	10029
7072.616	10019	7075.428	10014	7080.275	10019	7106.412	10000	7103.494	10007	7111.868	10026
7102.81	10028	7105.656	10022	7110.486	10029	7136.662	10012	7133.797	9999.3	7142.062	10032
7133.002	10026	7135.845	10026	7140.728	10018	7166.94	10002	7164.062	10007	7172.28	10023
7163.2	10028	7166.038	10029	7170.966	10011	7197.237	9994.2	7194.319	10014	7202.487	10021
7193.424	10019	7196.241	10021	7201.184	10023	7227.506	10006	7224.607	10004	7232.676	10032
7223.629	10024	7226.463	10016	7231.374	10033	7257.753	10014	7254.904	9996.8	7262.87	10029
7253.842	10027	7256.654	10029	7261.598	10016	7288.027	10008	7285.187	10002	7293.075	10024
7284.068	10023	7286.856	10021	7291.865	10007	7318.347	9992.5	7315.456	10006	7323.301	10024
7314.292	10019	7317.096	10014	7322.153	10000	7348.631	9996.3	7345.722	10008	7353.512	10029
7344.499	10021	7347.309	10014	7352.388	10018	7378.92	10004	7376.011	10004	7383.701	10026
7374.691	10029	7377.591	10001	7382.652	10008	7409.223	9999.3	7406.263	10006	7413.913	10028
7404.919	10023	7407.88	10001	7412.931	10003	7439.532	9992.3	7436.487	10019	7444.115	10028
7435.16	10019	7438.161	10001	7443.202	10006	7469.842	9985.9	7466.722	10018	7474.311	10035
7465.37	10024	7468.44	10004	7473.451	10013	7500.138	9997.8	7496.963	10014	7504.505	10029
7495.562	10029	7498.688	10013	7503.705	10006	7530.42	10002	7527.215	10006	7534.708	10029
7525.767	10027	7528.991	9998.6	7533.994	10004	7560.735	9989.1	7557.423	10024	7564.919	10029
7555.992	10019	7559.269	10004	7564.262	10008	7591.053	9993.7	7587.688	10008	7595.107	10034
7586.2	10024	7589.51	10013	7594.502	10014	7621.336	10001	7617.941	10006	7625.316	10024
7616.41	10024	7619.745	10017	7624.772	10004	7651.629	9998.3	7648.205	10008	7655.554	10011
7646.574	10024	7649.97	10016	7655.004	10004	7681.938	9992.4	7678.444	10010	7685.796	10016
7676.863	10003	7680.206	10018	7685.302	9994.2	7712.232	9999.3	7708.696	10006	7716	10027
7707.087	10016	7710.413	10024	7715.525	10016	7742.485	10012	7738.964	10007	7746.227	10023
7737.33	10016	7740.606	10029	7745.783	10013	7772.788	9999.3	7769.216	10006	7776.448	10022
7767.564	10018	7770.798	10026	7776.055	10009	7803.091	9998.7	7799.471	10006	7806.655	10024
7797.822	10014	7801.002	10027	7806.291	10018	7833.373	9996	7829.751	10003	7836.865	10029
7828.065	10019	7831.196	10029	7836.5	10024	7863.624	10011	7860.033	10001	7867.067	10028
7858.302	10011	7861.369	10037	7866.758	10013	7893.903	10003	7890.336	9999.3	7897.273	10024
7888.553	10006	7891.562	10029	7897.011	10011	7924.202	9996.5	7920.609	10009	7927.491	10024
7918.816	10009	7921.75	10033	7927.251	10014	7954.473	10000	7950.894	9996.4	7957.67	10035
7949.055	10014	7951.945	10035	7957.458	10024	7984.74	10007	7981.189	9998.9	7987.875	10021
7979.296	10019	7982.108	10036	7987.692	10018	8015.02	10003	8011.471	10002	8018.117	10019
8009.584	10000	8012.288	10039	8017.949	10014	8045.303	9995.7	8041.749	10003	8048.328	10029
8039.853	10006	8042.48	10029	8048.19	10016	8075.573	10001	8072.052	9998.7	8078.533	10021
8070.126	10006	8072.642	10040	8078.396	10027	8105.838	10007	8102.351	9994.2	8108.741	10024
8100.373	10013	8102.805	10036	8108.622	10024	8136.127	10004	8132.633	10003	8138.965	10016
8130.661	10004	8133.002	10035	8138.865	10018	8166.362	10004	8162.885	10011	8169.171	10024
