#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm	7k0	rpm	8k0	rpm	9k0	rpm	10k0	rpm	11k0	rpm	12k0	rpm	13k0	rpm	14k0	rpm	15k0	rpm	16k0	rpm	20k0	rpm	25k0	rpm	30k0	rpm	35k0	rpm	40k0	rpm	45k0	rpm	50k0	rpm	55k0	rpm	60k0	rpm	65k0	rpm
1479.274	10423	1474.403	10450	1475.22	10473	1475.738	10460	1473.7	10439	1467.225	10460	1470.688	10431	1474.112	10465	1471.038	10477	1469.208	10481	1472.139	10466	1476.259	10475	1469.224	10455	1467.512	10467	1469.081	10484	1464.81	10488	1471.076	10471	1465.441	10483	1468.945	10497	1467.61	10523	1468.881	10525	1465.719	10509	1474.309	10523	1466.252	10543	1465.835	10560	1465.538	10574
1508.417	10394	1503.501	10412	1504.235	10437	1504.759	10439	1502.784	10416	1496.284	10422	1499.817	10400	1503.117	10435	1500.059	10439	1498.165	10459	1501.129	10445	1505.246	10447	1498.252	10432	1496.494	10448	1498.043	10461	1493.719	10476	1500.098	10439	1494.424	10448	1497.845	10484	1496.509	10480	1497.705	10512	1494.582	10493	1503.164	10501	1495.066	10512	1494.608	10526	1494.23	10557
1537.604	10373	1532.676	10380	1533.324	10411	1533.866	10404	1531.958	10384	1525.411	10392	1529.007	10379	1532.176	10422	1529.153	10403	1527.177	10439	1530.207	10414	1534.328	10408	1527.326	10417	1525.56	10417	1527.074	10431	1522.702	10449	1529.191	10409	1523.49	10417	1526.813	10454	1525.44	10473	1526.585	10487	1523.497	10478	1532.092	10463	1523.956	10484	1523.471	10493	1523.005	10526
1566.833	10359	1561.912	10362	1562.469	10395	1563.071	10375	1561.209	10353	1554.576	10384	1558.224	10365	1561.31	10394	1558.327	10384	1556.283	10397	1559.365	10384	1563.473	10389	1556.497	10375	1554.725	10382	1556.178	10405	1551.763	10421	1558.332	10390	1552.598	10403	1555.862	10423	1554.446	10445	1555.544	10456	1552.487	10445	1561.066	10450	1552.888	10474	1552.385	10469	1551.89	10489
1596.177	10323	1591.171	10350	1591.706	10362	1592.314	10355	1590.514	10333	1583.817	10357	1587.543	10328	1590.538	10360	1587.537	10367	1585.471	10373	1588.578	10366	1592.654	10377	1585.754	10351	1583.959	10356	1585.327	10388	1580.923	10389	1587.554	10361	1581.756	10384	1584.986	10391	1583.52	10417	1584.576	10425	1581.55	10414	1590.096	10432	1581.909	10439	1581.355	10454	1580.811	10472
1625.617	10286	1620.542	10311	1621.065	10319	1621.623	10330	1619.902	10308	1613.181	10313	1616.97	10290	1619.841	10334	1616.86	10321	1614.753	10346	1617.89	10335	1621.943	10338	1615.09	10323	1613.266	10333	1614.578	10357	1610.129	10372	1616.864	10330	1611.002	10354	1614.172	10373	1612.679	10389	1613.681	10403	1610.704	10381	1619.221	10395	1611.019	10401	1610.439	10417	1609.798	10442
1655.107	10268	1650.003	10279	1650.484	10293	1651.038	10289	1649.383	10275	1642.592	10297	1646.464	10267	1649.221	10307	1646.31	10286	1644.111	10315	1647.295	10303	1651.322	10306	1644.475	10305	1642.67	10303	1643.921	10324	1639.433	10334	1646.263	10294	1640.361	10319	1643.458	10340	1641.88	10365	1642.854	10379	1639.931	10361	1648.448	10361	1640.217	10372	1639.612	10379	1638.89	10409
1684.645	10251	1679.535	10254	1679.94	10281	1680.549	10265	1678.953	10244	1672.071	10273	1676.003	10252	1678.687	10280	1675.805	10270	1673.541	10289	1676.766	10275	1680.776	10281	1673.954	10272	1672.155	10269	1673.331	10296	1668.83	10301	1675.707	10284	1669.77	10297	1672.838	10307	1671.168	10340	1672.117	10343	1669.248	10331	1677.76	10335	1669.46	10356	1668.853	10357	1668.094	10373
1714.313	10202	1709.112	10238	1709.493	10241	1710.103	10240	1708.592	10216	1701.643	10240	1705.661	10209	1708.243	10249	1705.353	10247	1703.075	10253	1706.287	10257	1710.281	10263	1703.525	10244	1701.725	10244	1702.796	10280	1698.301	10275	1705.214	10256	1699.217	10278	1702.288	10286	1700.52	10317	1701.482	10312	1698.667	10297	1707.119	10319	1698.817	10315	1698.141	10340	1697.354	10350
1744.073	10174	1738.781	10206	1739.176	10201	1739.716	10225	1738.315	10191	1731.286	10214	1735.416	10180	1737.867	10220	1735.017	10210	1732.7	10221	1735.874	10238	1739.879	10230	1733.163	10216	1731.352	10220	1732.38	10230	1727.851	10247	1734.847	10224	1728.768	10246	1731.776	10268	1729.979	10279	1730.917	10291	1728.145	10276	1736.544	10291	1728.264	10283	1727.545	10303	1726.658	10334
